Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
ViVoChem B.V.,1699,Juan Alvarado,0.658084882,0.496583144,0.081818182,1,0.672222222,0.063296613,0,0,238.5252816,0,,5
Top Agrochem,2152,Dimitrios Ntounas,0.093861803,0.002277904,0.009090909,0.167464115,0.351339286,0.002505633,0,1,233.1575862,0,,1
CABAMIX,2012,Houcem Bakkari,0.032129078,0.002277904,0,0,1,0,0,0.9,232.0620347,0,,1
Chemispec,5289,Oksana Senchyshyn,0.012627148,0.002277904,0.009090909,0,0.57,0,0,1,231.4051201,0,,1
Bioseutica B.V.,1972,Juan Alvarado,0.008839004,0,0,0,0.57,0,0,1,228.9419502,0,,1
iStrategia,3217,Juan Alvarado,0.001894072,0,0,0,0.57,0,0,1,228.5947036,0,,1
KESVI MAXIPLE LLP,962,Florian Pagels,0.052683269,0.006833713,0,0.171717172,0.304511278,0,0,1,227.8123285,0,,1
Sunkem A.Ş.,2333,Umut Öztürk,0.003016485,0.002277904,0.009090909,0,0.435283019,0,0,1,224.1887379,0,,1
AyTrade LTD,1261,Dimitrios Ntounas,0.016766047,0,0,0.666666667,0.57,0,0,0.8,222.6716357,0,,1
Evonik,6037,na,0.094282708,0,0,1,0.548222222,0,0,0.7,222.1252465,0,,1
Kemipex FZE,17407,Dimitrios Ntounas,0.067414942,0.020501139,0.018181818,1,0.351895425,0,0,0.7,218.7021098,0,,1
H. Costenoble GmbH & Co. KG,2170,Florian Pagels,0.024903543,0,0,1,0.542,0,0,0.7,218.3451771,0,,1
Beckmann-Kenko GmbH,2787,Florian Pagels,0.114345844,0.129840547,0.009090909,0.90625,0.358247863,0.001238203,0,0.6,216.8522968,0,,1
XP Chemistries AB,2975,Dimitrios Ntounas,0.00084181,0,0,0,0.64,0,0,0.9,212.0420905,0,,1
ADD-Chem Germany GmbH,2207,Florian Pagels,0.031076815,0.018223235,0.009090909,0.416666667,0.633636364,8.60E-06,0,0.7,199.5326809,0,,1
Yigitoglu Kimya,24145,Umut Öztürk,0.235356015,0.444191344,0.018181818,1,0.758026316,0.06577951,0,0,198.7217,0,,2
Jobachem Gmbh,904,Florian Pagels,0.132094002,0.298405467,0.190909091,0.898039216,0.728409091,0.07881774,0,0,193.671801,0,,2
"Comercial Coll Vila 324, S.L.",1187,Juan Alvarado,0.00084181,0.004555809,0.009090909,0,0.57,0,0,0.8,191.271434,0,,1
