id,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,cluster 5 RM,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
0,1,1,0.118181818,1,0.72744186,0.048541409,0,1,0,0,1,3,4,4,5,5,4
1,0.147316731,0.578587699,0.4,0.558599696,0.563013699,0.545682492,0,0.8,0,0,1,3,4,4,5,5,4
2,0.028130481,0.161731207,1,1,0.736764706,1,0,0,0,0,1,1,0,4,3,1,0
3,0.499052964,0.956719818,0.445454545,0.772413793,0.724715447,0.057757785,0.08,0,0,0,1,1,0,4,3,1,0
4,0.173833743,0,0,0.979591837,0.661243781,0,1,0,0,0,1,1,0,2,3,1,0
5,0.088179586,0.025056948,0.2,1,0.57,0.338261334,0,1,0,0,1,3,4,1,5,5,4
6,0.396282006,0.157175399,0.045454545,0.996688742,0.781119403,0.004404648,0,1,0,0,1,3,4,1,5,5,4
7,0.111750263,0.134396355,0.154545455,1,0.474026846,0.000535265,0,1,0,0,1,3,4,1,5,5,4
8,0.661732725,0.148063781,0.027272727,0.706666667,0.568504068,0.000404565,0,1,0,0,1,3,4,1,5,5,4
9,0.207576289,0.141230068,0.036363636,0.855421687,0.543333333,0.009538029,0,1,0,0,1,3,4,1,5,5,4
10,0.208067345,0.08428246,0.054545455,0.969879518,0.568558559,0.010671758,0,1,0,0,1,3,4,1,5,5,4
11,0.037390389,0.054669704,0.009090909,1,1,0.007339474,0,1,0,0,1,3,4,1,5,5,4
12,0.049666784,0.047835991,0.063636364,1,0.751777778,0.003624428,0,1,0,0,1,3,4,1,5,5,4
13,0.178183094,0.166287016,0.027272727,0.845,0.699090909,0.017859352,0,0.9,0,0,1,3,4,1,5,5,4
14,0.050157839,0.009111617,0.009090909,1,0.85516129,0,0,1,0,0,1,3,4,1,5,5,4
15,0.091476675,0.061503417,0,0.787234043,0.849150327,0,0,1,0,0,1,3,4,1,5,5,4
16,0.006243423,0.01594533,0.036363636,0.923076923,0.8,0.004944212,0,1,0,0,1,3,4,1,5,5,4
17,0.241388986,0.075170843,0.018181818,0.998007968,0.246560365,0.001892515,0,1,0,0,1,3,4,1,5,5,4
18,0.033742546,0.223234624,0.090909091,0.995633188,0.524776119,0.081886462,0,0.7,0,0,1,3,4,1,5,5,4
19,0.012136093,0.011389522,0.009090909,1,0.64,0,0,1,0,0,1,3,4,1,5,5,4
20,0.042371098,0.013667426,0,0.944444444,0.682,0,0,1,0,0,1,3,4,1,5,5,4
21,0.144580849,0.097949886,0.054545455,0.870317003,0.357504873,0.007954091,0.05,0.833333333,0,0,1,3,4,1,5,5,4
22,0.043633813,0.070615034,0.054545455,1,0.385,0.015709695,0,0.9,0,0,1,3,4,1,5,5,4
23,0.185478779,0.066059226,0.036363636,1,0.687368421,0.002880541,0,0.8,0,0,1,3,4,1,5,5,4
24,0.038653104,0.006833713,0,1,0.816578947,0,0,0.9,0,0,1,3,4,1,5,5,4
25,0.60940021,0.157175399,0.118181818,0.740506329,0.553969466,0.038008442,0,0.6,0,0,1,3,4,1,5,5,4
26,0.02293932,0.034168565,0.009090909,0.794642857,0.458823529,0.008770601,0,1,0,0,1,3,4,1,5,5,4
27,0.083900386,0,0,0.777777778,0.980666667,0,0,0.9,0,0,1,3,4,1,5,5,4
28,0.320098211,0.25284738,0.072727273,1,0.34095057,0.001466281,0,0.6,0,0,1,3,4,1,5,5,4
29,0.018519818,0.043280182,0,0.923076923,0.57,0,0,0.9,0,0,1,3,4,1,5,5,4
30,0.002174676,0.01594533,0,0.7,0.501538462,0,0,1,0,0,1,3,4,1,5,5,4
31,0.006243423,0.002277904,0.009090909,0.8,0.715,0.01586447,0,0.9,0,0,1,3,4,1,5,5,4
32,0.391932655,0.211845103,0.045454545,0.728070175,0.427593031,0.000889958,0,0.65,0,0,1,3,4,1,5,5,4
33,0.016976499,0.004555809,0,0.928571429,0.5975,0,0,0.9,0,0,1,3,4,1,5,5,4
34,0.506839705,0.671981777,0.081818182,0.988261189,0.53538937,0.019186482,0,0,0,0,1,1,0,4,3,1,5
35,0.04426517,0.004555809,0,0.8,0.445217391,0,0,0.9,0,0,1,3,4,1,5,5,4
36,0.658084882,0.496583144,0.081818182,1,0.672222222,0.063296613,0,0,0,0,1,1,0,4,3,1,0
37,0.093861803,0.002277904,0.009090909,0.167464115,0.351339286,0.002505633,0,1,0,1,2,3,4,1,5,3,6
38,0.032129078,0.002277904,0,0,1,0,0,0.9,0,1,0,3,4,1,5,3,6
39,0.012627148,0.002277904,0.009090909,0,0.57,0,0,1,0,1,0,3,4,1,5,3,6
40,0.008839004,0,0,0,0.57,0,0,1,0,1,0,3,4,1,5,3,6
41,0.001894072,0,0,0,0.57,0,0,1,0,1,0,3,4,1,5,3,6
42,0.052683269,0.006833713,0,0.171717172,0.304511278,0,0,1,0,1,2,3,4,1,5,3,6
43,0.003016485,0.002277904,0.009090909,0,0.435283019,0,0,1,0,1,0,3,4,1,5,3,6
