id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
45,Skova Pharmachems,564,0.011013679,0,0,0,0.57,0,0,0,29.05068397,2,1,0,2,1,4,2,1
46,Dukat Wiesława Partyka,565,0.000491056,0,0,0,0.43,0,0,0,21.52455279,2,1,0,2,1,4,2,1
47,Metalcoating Srl,581,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
48,Neofroxx Gmbh,589,0.000140302,0,0,0,0.57,0,0,0,28.50701508,2,1,0,2,1,4,2,1
49,Life Chemicals Europe Gmbh,600,0.019221326,0,0,1,0.569720559,0,0,0,79.44709424,1,0,1,1,0,3,1,5
50,Cf Plus Chemicals S.R.O.,608,0.003788145,0.002277904,0,0,0.531612903,0,0,0,27.22563325,2,1,0,2,1,4,2,1
51,Dr. Felix Jäger Chemikalienhandel,620,0.005612066,0,0,0.230769231,0.71,0,0,0,47.31906484,1,1,0,2,2,1,4,2
52,Organica Feinchemie Gmbh Wolfen,630,0.000140302,0,0,0,1,0,0,0,50.00701508,1,1,0,2,2,1,4,2
53,Pp Polymer Ab,646,0.002806033,0,0,0,0.444,0,0,0,22.34030165,2,1,0,2,1,4,2,1
54,Erich Slupetzky Gesmbh,695,0.038933707,0,0,1,0.43,0,0,0,73.44668537,1,0,1,1,0,3,1,5
55,Borealis AG,729,0.061873027,0,0,0.055555556,0.71,0,0,0,41.37142913,2,1,0,2,2,1,4,2
56,Infinium Pharmachem Pvt Ltd,734,0.025464749,0,0,0.636363636,0.565625,0,0,0,61.37266928,1,0,1,1,0,0,6,7
57,Jebsen & Jessen Life Science Gmbh,739,0.023781129,0.011389522,0,0.296296296,0.556,0,0,0,46.08177561,1,1,0,2,1,0,6,7
58,Aldebaran Sistemas S.L,753,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
59,Terra Nostra Gmbh,766,0.00168362,0,0,0,0.71,0,0,0,35.58418099,2,1,0,2,2,1,4,2
60,Cremer Oleo Gmbh & Co. Kg,789,0.010522624,0.006833713,0,0.714285714,0.57,0,0,0,66.10715949,1,0,1,1,0,0,6,5
61,Satcotek Gmbh,796,0.00933006,0,0,1,0.671818182,0,0,0,84.05741207,1,0,1,1,0,3,1,0
62,Stand-Chem Kft.,805,0.008909155,0.002277904,0,0.37704918,0.403773585,0,0,0,39.94217686,2,1,0,2,1,0,6,7
63,Synhet - Synthetic Heterocycles,809,0.000771659,0,0,0,0.351827605,0,0,0,17.6299632,2,1,2,0,1,4,2,1
64,Becker Industrielack Gmbh,817,0,0,0,0,0.682,0,0,0,34.1,2,1,0,2,2,1,4,2
65,Aston Chemicals Ltd,823,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
66,888 Raw Plastic Supplies,824,0,0,0,0,0.535,0,0,0,26.75,2,1,0,2,1,4,2,1
67,Esterpol,837,0.001262715,0,0,0,0.29,0,0,0,14.56313574,2,1,2,0,1,4,2,1
68,Doenitz Pro Lab E. Kfr.,844,0.020694493,0,0,0,0.29,0,0,0,15.53472466,2,1,2,0,1,4,2,1
69,Oqema Gmbh,853,0.382181691,0.134396355,0.027272727,0.384864865,0.300153022,0.002399017,0,0,85.93369715,1,1,2,0,1,0,6,7
70,Nimaco Chemicals,903,0.010452473,0,0,0,0.71,0,0,0,36.02262364,2,1,0,2,2,1,4,2
71,Jobachem Gmbh,904,0.132094002,0.298405467,0.190909091,0.898039216,0.728409091,0.07881774,0,0,193.671801,0,0,1,1,0,3,1,0
72,Tauroquimica,916,0.001543318,0,0,0,0.57,0,0,0,28.57716591,2,1,0,2,1,4,2,1
73,Rho Nano,942,0.01192564,0,0,0.076923077,0.71,0,0,0,39.94243585,2,1,0,2,2,1,4,2
74,Kaffe Bueno Aps,945,0.001332866,0,0,0,0.57,0,0,0,28.56664328,2,1,0,2,1,4,2,1
75,KESVI MAXIPLE LLP,962,0.052683269,0.006833713,0,0.171717172,0.304511278,0,0,1,227.8123285,0,1,2,3,4,5,3,6
76,Bozzetto Group,984,0.010382322,0.011389522,0,1,0.57,0,0,0,81.29702043,1,0,1,1,0,3,1,5
77,Gama (York) Ltd,991,0.001613469,0,0,0,0.57,0,0,0,28.58067345,2,1,0,2,1,4,2,1
78,Balthemis,1001,0.094843914,0.01594533,0,0.721804511,0.75,0,0,0,81.52148734,1,0,1,1,0,3,1,0
79,Halopolymer,1018,0.00933006,0.022779043,0.009090909,0.272727273,0.523333333,0,0,0,46.64352376,1,1,0,2,1,0,6,7
80,Ismaco,1020,0.000420905,0,0,0,0.57,0,0,0,28.52104525,2,1,0,2,1,4,2,1
81,Akm Intl. Gmbh,1045,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
82,4 Chemicals Sp. Z O.O.,1078,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
83,deleted_Cavu Gmbh,1079,0.019221326,0.01594533,0,1,0.903333333,0,0,0,99.31679902,1,0,1,1,0,3,1,0
84,INNOVOX GMBH biolla,1124,0.190459488,0.330296128,0.027272727,0.829192547,0.330375546,0.001702034,0,0,139.1853534,0,0,1,1,0,3,1,5
85,Synthese Nord,1141,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
86,Cortex Chemicals sp. z o.o.,1149,0.001473167,0,0,0,0.71,0,0,0,35.57365837,2,1,0,2,2,1,4,2
87,Wolf Niemz - Ätherische Öle,1174,0.014661522,0.022779043,0,0.933333333,0.720333333,0,0,0,87.9722181,1,0,1,1,0,3,1,0
88,Standard Water srl,1179,0.001122413,0.002277904,0,0,0.71,0,0,0,36.01170153,2,1,0,2,2,1,4,2
89,"Comercial Coll Vila 324, S.L.",1187,0.00084181,0.004555809,0.009090909,0,0.57,0,0,0.8,191.271434,0,1,0,3,4,5,3,6
90,Oliver Rubber Industries LLP,1204,0.006243423,0,0,0,0.57,0,0,0,28.81217117,2,1,0,2,1,4,2,1
91,H3B SRL,1224,0.018239214,0.002277904,0,0.588235294,0.686666667,0,0,0,65.11263962,1,0,1,1,0,0,6,7
92,KRENDALL srl,1236,0.136653806,0.066059226,0.027272727,1,0.867254902,2.30E-05,0,0,118.8641259,0,0,1,1,0,3,1,0
93,"Dmitrievsky Chemical Plant – Production, LLC",1256,0.013258506,0.043280182,0,0.759259259,0.416,0,0,0.2,108.0819247,0,0,1,1,0,0,6,5
94,Wacker Chemie AG,1259,0.016625745,0.013667426,0.009090909,1,0.607333333,0.006294196,0,0,86.37904057,1,0,1,1,0,3,1,5
95,AyTrade LTD,1261,0.016766047,0,0,0.666666667,0.57,0,0,0.8,222.6716357,0,0,1,3,4,5,5,4
96,International Solvent Solutions BV,1272,0.192844616,0.268792711,0.009090909,0.57195572,0.30011583,5.37E-05,0,0,108.8279064,0,0,1,1,0,0,6,7
97,Same Chemicals BV,1286,0.147316731,0.578587699,0.4,0.558599696,0.563013699,0.545682492,0,0.8,473.7322953,0,0,1,3,4,5,5,4
98,Allmin Resources Ireland Ltd.,1289,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
99,Particular Materials srl,1301,0.038162048,0,0,0.846153846,0.696666667,0,0,0,79.04912806,1,0,1,1,0,3,1,0
