Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points
Hüttenes-Albertus Chemische Werke GmbH,326,0.10768587,0.333010649,0.085443038,0.06557377,0.228915663,0.020526765,1,465.7366472
Impag AG,23107,0.000557958,0,0.041139241,0,0.003442341,0,0.840336134,344.5623168
STOCKMEIER Chemie GmbH & Co. KG,10176,0.004742642,0.000968054,0.037974684,1,0.024096386,1,0,309.0852908
Rascor International AG,3406,0.053703445,0.075508228,0.03164557,0.016393443,0.180722892,0,0.64171123,281.7890227
JARBUR EUROCHEM Spółka Jawna,19068,1,0.913843175,0.661392405,0.016393443,0.838209983,0.007647553,0,273.9245827
Rütgers Organics GmbH,19165,0.054679872,0.050338819,0.10443038,0.06557377,0.13253012,0.007497601,0.545454545,264.8098489
Selectcolor,16107,0.209373692,0.68731849,0.170886076,0.081967213,0.485370052,0.004518287,0.359865416,264.0717647
Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.458365164,242.0126448
Traditem Gmbh,141,0.415818106,0.467570184,0.693037975,0,1,0,0,232.7770094
ROTA BOYA SANAYİ VE TİCARET LTD.ŞTİ.,11294,0.029292788,0,0.316455696,0.786885246,0.039586919,0.054505149,0,229.5626887
Trim Teknoloji ve Servis A.Ş.,19257,0.102524759,0.194578896,1,0,0.074010327,0,0,218.5556991
"PRODUCTOS JAFEP ,S.L.",6333,0.184126098,0.240077444,0.310126582,0.426229508,0.502581756,0.172932688,0,210.9037518
Rhein-Chemotechnik GmbH,19232,0.056772214,0.066795741,0.056962025,0.098360656,0.144578313,0.056741843,0.380577763,202.3771391
PINTURAS EUROTEX,5807,0.103640675,0.060987415,0.303797468,0.508196721,0.192771084,0.115392067,0,191.8080033
Yeğenler Kimya,24968,0.043660204,0.058083253,0.860759494,0,0.060240964,0,0,180.2511197
"JSC ""Lakokraska"" Lida",28165,0.056214256,0.043562439,0.699367089,0.032786885,0.075731497,0,0,155.2062044
Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.229182582,150.339612
distripark.com,1960,0.851304227,0.156824782,0.306962025,0.016393443,0.691910499,0.004811794,0,150.1542483
KSS YALITIM INSAAT SANAYI VE TICARET ANONIM SIRKETI,15218,0.050774167,0.052274927,0.212025316,0.37704918,0.13253012,0.007715344,0,130.3653945
Same Chemicals BV,12688,0.223601618,0.281703775,0.189873418,0.081967213,0.624784854,0.073940339,0,118.2666724
peri kimya,6619,0.06304924,0.023233301,0.237341772,0.229508197,0.122203098,0.117500542,0,115.5443299
Penta Chemicals,16252,0.119542475,0.329138432,0.351265823,0.032786885,0.25989673,0.006964438,0,112.9358672
2BM SRL,22636,0.240758823,0.455953533,0.272151899,0,0.265060241,0,0,102.5190096
Brockley Group Ltd,1348,0.082996234,0.305905131,0.151898734,0.098360656,0.370051635,0.132920066,0,101.2915345
CNI Kft.,6703,0.198075045,0.178121975,0.227848101,0.049180328,0.275387263,0.12934261,0,100.919161
PQ Corporation,17692,0.126516948,0.120038722,0.215189873,0.147540984,0.296041308,1.07E-05,0,99.67708598
Chemical company Eurochem,14535,0.088715302,0.252662149,0.360759494,0.016393443,0.115318417,0.003884079,0,98.65378857
Yadex International GmbH,16317,0.1470219,0.289448209,0.186708861,0.098360656,0.208261618,0.093743335,0,98.62482319
LA-Solution GmbH,20092,0.218440508,0.511132623,0.240506329,0,0.254733219,0,0,97.31658331
Group of companies “TOPhim”,25796,0.293206863,0.106485963,0.126582278,0.032786885,0.65404475,0.042911268,0,88.85183841
Retana Transamerica S.A.,1287,0.488631608,1,0,0,0.270223752,0,0,87.94276802
ITS Medical GmbH,23746,0.160831357,0.254598258,0.243670886,0.032786885,0.228915663,4.67E-05,0,87.51348331
Kunststoff-und Farben-GmbH,17105,0.000139489,0,0.009493671,0.229508197,0.00172117,0.395686714,0,87.46207787
MA-YDI d.o.o.,1150,0.652392244,0.564375605,0,0,0.485370052,0,0,85.10689505
"AKCOAT RECUBRIMIENTOS QUIMICOS ESPECIALIZADOS, SLU",18413,0.222904171,0.173281704,0.120253165,0,0.82444062,0,0,85.08195762
"Industrias Quimicas Novalk, SL",20775,0.168363789,0.186834463,0.180379747,0.032786885,0.475043029,0.005118362,0,84.65722665
DISLAB SAS,30578,0.232528944,0.266214908,0.205696203,0,0.299483649,0,0,81.05061556
FS Foreign Trade,27703,0.300320826,0.267182962,0.069620253,0.032786885,0.535283993,0.036530466,0,79.27386335
Brenntag GmbH,618,0.005579579,0.006776379,0.047468354,0.213114754,0.030981067,0.22326189,0,76.60966193
Cenik Chemicals,32571,0.762867903,0.254598258,0,0,0.497418244,0,0,75.74422027
Capua Boya,21085,0.001534384,0.008712488,0.183544304,0.180327869,0.005163511,0.000247837,0,73.56973744
