Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means
NIF Natural Industrial Food & Essence Production GmbH,32003,0.001115916,0.000968054,0,0,0.008605852,0,0,0.534491097,3,0
Eurofoam Polska Sp. z o.o.,31305,0.001115916,0.000968054,0,0,0.008605852,0,0,0.534491097,3,0
Coreth Kunststoffverarbeitungs GmbH,28621,0.001115916,0.000968054,0,0,0.008605852,0,0,0.534491097,3,0
HEMEL BOYA VE KIMYA SAN. A.S.,33362,0.004324174,0.002904163,0,0,0.003442341,0,0,0.533533847,3,0
Lubsolutions Benelux B.V.,18963,0.001952853,0.008712488,0,0,0,0,0,0.533267023,3,0
"Trading  House  ""Terra Plus"" holding UKRLANDFARMING",33799,0.001394895,0.005808325,0,0,0.003442341,0,0,0.532278037,3,0
A-Resins,25849,0.001394895,0.005808325,0,0,0.003442341,0,0,0.532278037,3,0
Advanced Organic Materials Valencia SA,26149,0.001394895,0.005808325,0,0,0.003442341,0,0,0.532278037,3,0
Duchev OOD,34790,0.002789789,0.000968054,0,0,0.006884682,0,0,0.532126258,3,0
"Annabis, s.r.o.",24070,0.002789789,0.000968054,0,0,0.006884682,0,0,0.532126258,3,0
Baymineral,12817,0.000418468,0.006776379,0,0,0.003442341,0,0,0.531859434,3,0
D&D Detailing,24131,0.000836937,0.002904163,0,0,0.006884682,0,0,0.531289051,3,0
Medcem GmbH,22070,0.000836937,0.002904163,0,0,0.006884682,0,0,0.531289051,3,0
INNOSPEC LEUNA GMBH,24565,0.000836937,0.002904163,0,0,0.006884682,0,0,0.531289051,3,0
BRYBIN GmbH,12217,0.002092342,0.006776379,0,0,0.00172117,0,0,0.529494595,3,0
Shampora Srl,35118,0.001115916,0.007744434,0,0,0.00172117,0,0,0.529075992,3,0
BM SRL,21836,0.001115916,0.007744434,0,0,0.00172117,0,0,0.529075992,3,0
Dream Flower Parfum s.r.l.,238,0.001115916,0.007744434,0,0,0.00172117,0,0,0.529075992,3,0
anybrand cosmetic,29474,0.001534384,0.003872217,0,0,0.005163511,0,0,0.528505609,3,0
chemX LPE SRL,20224,0.000557958,0.004840271,0,0,0.005163511,0,0,0.528087006,3,0
Luton Engineering Services,27952,0.001952853,0,0,0,0.008605852,0,0,0.527935227,3,0
Buko,25504,0.000976426,0.000968054,0,0,0.008605852,0,0,0.527516624,3,0
Aspec Environmental,35596,0.000976426,0.000968054,0,0,0.008605852,0,0,0.527516624,3,0
Treatment 4 Water Ltd,27891,0.000976426,0.000968054,0,0,0.008605852,0,0,0.527516624,3,0
BIONIKA Medline Kft,29590,0.000976426,0.000968054,0,0,0.008605852,0,0,0.527516624,3,0
Jagbhalla Enterprises,22382,0.000976426,0.000968054,0,0,0.008605852,0,0,0.527516624,3,0
BODEGAS BOCOPA. COOP.V.,19633,0.002789789,0.007744434,0,0,0,0,0,0.526711153,3,0
BETTON YAPİ,30933,0.003208258,0.003872217,0,0,0.003442341,0,0,0.526140771,3,0
KZWM Ogniochron S.A.,18138,0.000836937,0.009680542,0,0,0,0,0,0.525873946,3,0
INDUMARSAN S.L.,22854,0.001255405,0.005808325,0,0,0.003442341,0,0,0.525303564,3,0
DIOCHEM DIORELIS ATHANASIOS,1710,0.001255405,0.005808325,0,0,0.003442341,0,0,0.525303564,3,0
