Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,label
CHEMIA BRUGG AG,1675,0.135931825,0.142023346,0.126582278,0.016393443,0.329879102,0.011377204,0,cluster_2
Rehmat and Brother,28345,0.205504331,0.21692607,0.085443038,0,0.433506045,0,0,cluster_2
International Trade Solutions,12226,0.296172115,0.219844358,0.110759494,0,0.186528497,0,0,cluster_2
Himipex Oil LLC,28499,0.085219335,0.075875486,0.21835443,0,0.110535406,0,0,cluster_1
Oqema AG,21563,0.165409332,0.219844358,0.034810127,0.049180328,0.392055268,0.012476008,0,cluster_2
HA Italia S.p.A. (Hüttenes-Albertus),6836,0.124196703,0.257782101,0.07278481,0.032786885,0.329879102,0,0,cluster_2
Global Galax,2397,0.066079911,0.145914397,0.120253165,0.06557377,0.13298791,0.021259864,0,cluster_2
PROCIV SRL,18007,0.232327466,0.182879377,0.094936709,0.016393443,0.227979275,0.002071337,0,cluster_2
EKOS-1,19975,0.055183012,0.094357977,0.151898734,0,0.331606218,0,0,cluster_2
Scholz Establishment & Co Kommanditges. Eschen Zweigniederlassung Dietikon,1499,0.33612741,0.539883268,0,0,0.189982729,0,0,cluster_2
Parkim Parfüm Plastik ve Kimya San. Ltd. Sti.,5966,0.058815312,0.173151751,0.180379747,0,0.107081174,0,0,cluster_2
Felföldi Édességgyártó Kft,24186,0.130203968,0.098249027,0.161392405,0,0.176165803,0,0,cluster_2
REMEI Blomberg GmbH & Co. KG,1445,0.132020117,0.130350195,0.012658228,0.049180328,0.502590674,0.013935541,0,cluster_2
RECOVER LTD./The Cyprus Institute (CyI),27245,0.084381112,0.081712062,0.117088608,0.06557377,0.129533679,1.61E-04,0,cluster_1
Mena-Kim Group,23206,0.051271305,0.05155642,0.205696203,0,0.077720207,0,0,cluster_1
ProLab Materials Srl,12844,0.08941045,0.147859922,0.129746835,0.016393443,0.160621762,0,0,cluster_2
Noxorsokemgroup srl,24812,0.08466052,0.045719844,0.047468354,0.06557377,0.369602763,0.013389049,0,cluster_2
Corquimia,16825,0.068175468,0.119649805,0.120253165,0.032786885,0.15716753,0.00938533,0,cluster_2
PRM - POLYTRADE RAW MATERIALS,1761,0.073763621,0.233463035,0.10443038,0,0.246977547,0,0,cluster_2
NTC,18409,0.065521095,0.171206226,0.110759494,0.032786885,0.146804836,0.006420612,0,cluster_2
LLC CHIMARTIS Pro,1145,0.353590388,0.474708171,0,0,0.127806563,0,0,cluster_2
Andreas Leingruber Landtechnik,33235,0.12154233,0.168287938,0.142405063,0,0.089810017,0,0,cluster_2
"Behn Meyer Chemicals (T) Co., Ltd.",1384,0.167784297,0.304474708,0,0,0.474956822,0,0,cluster_2
Sameca Produtos Químicos,25085,0.105196982,0.195525292,0.063291139,0.016393443,0.281519862,0.021992962,0,cluster_2
BAK Handelsbetrieb,19239,0.05658005,0.275291829,0.066455696,0,0.345423143,0,0,cluster_2
Saudi Factory For Environmental Solvents,32004,0.169321039,0.083657588,0.117088608,0,0.221070812,0,0,cluster_2
Centro-Chem,14239,0.117211512,0.318093385,0.047468354,0,0.310880829,0,0,cluster_2
QS ADHESIVES&SEALANTS S.L,1188,0.049175747,0.159533074,0.113924051,0.016393443,0.13298791,0.036155097,0,cluster_2
Georges S. Daras,27799,0.112740989,0.233463035,0.079113924,0,0.271157168,0,0,cluster_2
Grüssing GmbH,22772,0.073204806,0.208171206,0.091772152,0.016393443,0.219343696,1.40E-04,0,cluster_2
Dörken Service GmbH,10506,0.01606594,0.028210117,0.082278481,0.098360656,0.079447323,0.043067885,0,cluster_1
Baykim Kimya Ürünleri San.Tic.A.Ş.,33792,0.214305672,0.073929961,0.117088608,0,0.174438687,0,0,cluster_2
Agfa-Gevaert N.V.,13489,0.057138866,0.213035019,0.07278481,0.016393443,0.288428325,7.20E-04,0,cluster_2
Möller Chemie GmbH & Co. KG,21846,0.025006985,0.053501946,0.091772152,0.06557377,0.088082902,0.050633797,0,cluster_1
BELCHEMSERVICE JSC,23884,0.084520816,0.293774319,0.088607595,0,0.15716753,0,0,cluster_2
Stera Chemicals SRL,779,0.11497625,0.101167315,0.107594937,0,0.240069085,0,0,cluster_2
Sate Gıda ve Kimya San. ve Tic. Ltd. Şti,22559,0.139005309,0.240272374,0.066455696,0,0.234887737,0,0,cluster_2
Clariant,26056,0.145850796,0.11381323,0.037974684,0.016393443,0.366148532,0.018194178,0,cluster_2
Schindlerswerk GmbH & Co. KG,24724,0.123079072,0.176070039,0.063291139,0.016393443,0.2417962,0,0,cluster_2
Acril Nova,15036,0.094020676,0.081712062,0.10443038,0.032786885,0.126079447,0.003532203,0,cluster_1
yapı lider kimya sanayi ve ticaret a.ş,12461,0.064263761,0.116731518,0.148734177,0,0.077720207,0,0,cluster_1
Chemical Point UG,17721,0.056440346,0.11770428,0.098101266,0,0.284974093,0,0,cluster_2
Chemie Solve sourcing Ltd.,2077,0.060771165,0.589494163,0.009493671,0,0.158894646,0,0,cluster_2
Erak trade,18141,0.062866723,0.037937743,0,0,0.728842832,0,0,cluster_2
Düzey Kimya,24696,0.147946354,0.260700389,0.079113924,0,0.100172712,0,0,cluster_2
VUAB pharma,18248,0.051690416,0.140077821,0.158227848,0,0,0,0,cluster_1
BELCHIMSET JSC,19824,0.046800782,0.118677043,0.101265823,0.016393443,0.150259067,0.012985252,0,cluster_1
Foster Chemicals GmbH,21496,0.144733166,0.089494163,0.047468354,0.032786885,0.240069085,0.006628426,0,cluster_2
Aquapolimer,25220,0.077395921,0.133268482,0.075949367,0.016393443,0.164075993,0.030169546,0,cluster_2
CEMP,25494,0.068315172,0.21692607,0.10443038,0,0.100172712,0,0,cluster_2
HSH Chemie S.R.L. Romania,2675,0.021654093,0.156614786,0.113924051,0.032786885,0.034542314,0,0,cluster_1
"ICHEM - Produits Chimiques Ichem, Inc.",5895,0.076417994,0.075875486,0.129746835,0,0.127806563,0,0,cluster_1
SOUTH AGRO SRL,4603,0.042609668,0.086575875,0.139240506,0,0.110535406,0,0,cluster_1
Vimal Intertrade Pvt. Ltd,1201,0.351215423,0.234435798,0,0,0.207253886,0,0,cluster_2
CHEM OVERSEAS FOR IMP. EXP,27425,0.106873428,0.112840467,0.094936709,0,0.19343696,0,0,cluster_2
BTT-Beschichtungstechnik GmbH & Co.KG,17433,0.063704946,0.096303502,0.091772152,0.016393443,0.141623489,0.024592131,0,cluster_1
VEBI ISTITUTO BIOCHIMICO SRL,22294,0.081587035,0.205252918,0.066455696,0,0.22970639,0,0,cluster_2
Chime S.p.a.,18286,0.044286113,0.163424125,0.085443038,0,0.226252159,0,0,cluster_2
Aosta DOO,32609,0.03101425,0.070038911,0.164556962,0,0.010362694,0,0,cluster_1
ESER KİMYA,25414,0.069153395,0.070038911,0.126582278,0,0.122625216,0,0,cluster_1
Sel kimya,17448,0.037999441,0.061284047,0.142405063,0,0.091537133,0,0,cluster_1
"Radka S.R.O., Pardubice",701,0.052249232,0.149805447,0.107594937,0,0.127806563,0,0,cluster_1
SAS LES 1001 FEUILLES  (LES MILLE ET UNE FEUILLES),29668,0.108968986,0.160505837,0.101265823,0,0.082901554,0,0,cluster_1
Mega EM,15206,0.052947751,0.176070039,0.094936709,0,0.148531952,0,0,cluster_2
Trastamo,19010,0.168203409,0.095330739,0.066455696,0,0.221070812,0,0,cluster_2
Tnh Kimya Arge ve Teknoloji Merkezi Ltd. Şti,27498,0.050433082,0.097276265,0.120253165,0,0.113989637,0,0,cluster_1
Cinkanlar a.s.,20785,0.082425258,0.024319066,0.120253165,0,0.139896373,0,0,cluster_1
Polimed Ilac ve Tavukculuk Tic. ve San. Ltd. Şti.,30786,0.089689858,0.048638132,0.07278481,0,0.297063903,0,0,cluster_2
ODO Dinko,1412,0.164012294,0.342412451,0,0,0.214162349,0,0,cluster_2
Polyment GmbH,1448,0.14124057,0.097276265,0.079113924,0,0.160621762,0,0,cluster_2
Akkim,15896,0.057418273,0.197470817,0.041139241,0.032786885,0.162348877,8.86E-06,0,cluster_2
Upex Yapi Kimyasallari,22106,0.070969545,0.024319066,0.123417722,0,0.113989637,0,0,cluster_1
GP'PEMIR' DOO KIKINDA,32062,0.036183291,0.147859922,0.126582278,0,0.010362694,0,0,cluster_1
Rostovskaya Khimicheskaya Torgovlya LLC,2034,0.245878737,0.350194553,0,0,0.09671848,0,0,cluster_2
NANDO UAB,8086,0.042469964,0.079766537,0.069620253,0.032786885,0.155440415,0.001603154,0,cluster_1
Centrohem,23004,0.024727578,0.059338521,0.129746835,0,0.08462867,0,0,cluster_1
RAKSYSCOM PTE LTD Singapore,25889,0.028639285,0.019455253,0.148734177,0,0.039723661,0,0,cluster_1
SoleChem Kimya AS,31945,0.073204806,0.086575875,0.107594937,0,0.091537133,0,0,cluster_1
DURAN CHEMICALS SA DE CV,2003,0.154791841,0.454280156,0,0,0.07253886,0,0,cluster_2
Preparados Quimicos de Navarra S.L,8880,0.176585638,0.06614786,0.047468354,0,0.245250432,0,0,cluster_2
CarboCode,16173,0.057977089,0.139105058,0.098101266,0,0.086355786,0,0,cluster_1
SC VESTEL SRL,8956,0.084101704,0.129377432,0.060126582,0.016393443,0.150259067,0.001986031,0,cluster_1
Ekoladies AB,29873,0.065940207,0.160505837,0.034810127,0.032786885,0.170984456,0.002397899,0,cluster_2
Coremal SA,1441,0.158563845,0.219844358,0.003164557,0.016393443,0.212435233,0.001392888,0,cluster_2
3V Sigma spa,31091,0.127270187,0.252918288,0.034810127,0,0.143350604,0,0,cluster_2
BEAUTYTECH SERVICES SIA,30043,0.158424141,0.149805447,0.044303797,0,0.16925734,0,0,cluster_2
Diolsem SRL,34341,0.067616653,0.094357977,0.10443038,0,0.074265976,0,0,cluster_1
H.B. Fuller Adhesives Italia s.r.l.,20787,0.042050852,0.309338521,0,0,0.30224525,0,0,cluster_2
Sermet Foreign Trading,34836,0.030595138,0.035019455,0.142405063,0,0.017271157,0,0,cluster_1
ALTAKEM CHEMICALS,18005,0.100447052,0.090466926,0.047468354,0,0.271157168,0,0,cluster_2
Vanya GmbH,16346,4.19E-04,0.001945525,0.018987342,0.131147541,0,0.023973662,0,cluster_0
ATAS s.r.l.,32896,0.175747415,0.133268482,0.028481013,0,0.226252159,0,0,cluster_2
